problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,clustering_algo,num_partitions,size_of_largest_partition,partition_runtime,num_paths,edge_disjoint,dist_metric,iteration,total_flow,runtime,r1_runtime,r2_runtime,recon_runtime,r3_runtime,kirchoffs_runtime
Cogentco.graphml,197,486,1858163378,poisson,128.0,38611,195857.484375,ncflow_edge_per_iter,fm_partitioning,42,19,0.007133,4,True,inv-cap,1,4272.16699382339,0.6276216506958008,0.022250890731811523,0.0022029876708984375,0.0029535293579101562,0.005395174026489258,0.5948190689086914
Cogentco.graphml,197,486,1858163378,poisson,128.0,38611,195857.484375,ncflow_edge_per_iter,fm_partitioning,42,19,0.007133,4,True,inv-cap,2,1759.1201355874412,0.03545880317687988,0.022574901580810547,0.0021276473999023438,0.002951383590698242,0.00506901741027832,0.0027358531951904297
Cogentco.graphml,197,486,437524940,poisson,128.0,38611,195701.84375,ncflow_edge_per_iter,fm_partitioning,42,19,0.004906,4,True,inv-cap,0,58432.86641756693,0.05819511413574219,0.025636911392211914,0.015244007110595703,0.003130674362182617,0.0052928924560546875,0.008890628814697266
Cogentco.graphml,197,486,437524940,poisson,128.0,38611,195701.84375,ncflow_edge_per_iter,fm_partitioning,42,19,0.004906,4,True,inv-cap,1,2987.384974441562,0.04548382759094238,0.029729843139648438,0.004029035568237305,0.0027179718017578125,0.005656003952026367,0.003350973129272461
Cogentco.graphml,197,486,437524940,poisson,128.0,38611,195701.84375,ncflow_edge_per_iter,fm_partitioning,42,19,0.004906,4,True,inv-cap,2,1454.7719198011869,0.033763885498046875,0.020379066467285156,0.002257823944091797,0.0029485225677490234,0.0053539276123046875,0.002824544906616211
Cogentco.graphml,197,486,1175139186,poisson,4.0,38612,6111.806640625,ncflow_edge_per_iter,fm_partitioning,42,19,0.006646,4,True,inv-cap,0,6111.806126988027,0.0824434757232666,0.0027740001678466797,0.015442132949829102,0.0035583972930908203,0.00477290153503418,0.05589604377746582
Cogentco.graphml,197,486,1714847716,poisson,4.0,38611,6118.8662109375,ncflow_edge_per_iter,fm_partitioning,42,19,0.006095,4,True,inv-cap,0,6118.866325012874,0.4754807949066162,0.0026688575744628906,0.015679121017456055,0.23325896263122559,0.005651950836181641,0.21822190284729004
Cogentco.graphml,197,486,1618377143,poisson,32.0,38612,48987.01953125,ncflow_edge_per_iter,fm_partitioning,42,19,0.005989,4,True,inv-cap,0,28272.48893385132,0.11734318733215332,0.01176905632019043,0.015579938888549805,0.0031709671020507812,0.005590200424194336,0.08123302459716797
Cogentco.graphml,197,486,1618377143,poisson,32.0,38612,48987.01953125,ncflow_edge_per_iter,fm_partitioning,42,19,0.005989,4,True,inv-cap,1,1478.252009510446,0.028794288635253906,0.011620044708251953,0.003084897994995117,0.003314971923828125,0.00531005859375,0.005464315414428711
Cogentco.graphml,197,486,1618377143,poisson,32.0,38612,48987.01953125,ncflow_edge_per_iter,fm_partitioning,42,19,0.005989,4,True,inv-cap,2,491.595951152024,0.02424001693725586,0.0100250244140625,0.0028998851776123047,0.0027434825897216797,0.004203081130981445,0.00436854362487793
